,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
972,HIP 13328 ,149.07255626,-21.64460331,4.56,42.87846216,35.05989415,60
973,HIP 70574 ,319.91846084,14.50406747,4.56,216.53431272,-45.22138996,2
974,HIP 18597 ,274.01852976,-43.77568691,4.56,59.68640623,-61.40015059,75
975,HIP 104194,88.88446963,0.20207346,4.56,316.65036722,47.64840597,28
976,HIP 86092 ,343.98377299,-7.5805521,4.56,263.91504719,-46.50559076,16
977,HIP 27830 ,182.00806098,0.77458783,4.56,88.33184814,27.61228536,20
978,HIP 44700 ,184.33059998,42.14499211,4.56,136.63245022,38.45225024,77
979,HIP 103004,71.30541874,-10.98285774,4.56,313.0321898,27.09712771,65
980,HIP 54951 ,218.09591966,67.88151603,4.56,168.80101292,23.09552528,73
981,HIP 86614 ,102.96932611,31.0308985,4.57,265.4846127,72.14949916,25
982,HIP 94005 ,356.86240772,-20.24351199,4.57,287.08722077,-40.4966376,16
983,HIP 16870 ,244.85529644,-53.51393541,4.57,54.2736588,-40.27451075,80
984,HIP 92818 ,53.63414711,9.42177015,4.57,283.68700483,22.64507357,1
985,HIP 80463 ,29.45658577,38.62524013,4.57,246.35387324,14.03341514,18
986,HIP 97886 ,61.26803308,-1.78671071,4.57,298.36533677,24.07952568,79
987,HIP 80473 ,353.68601563,17.68678025,4.57,246.39633811,-23.44711764,50
988,HIP 67627 ,112.77335816,51.20532716,4.58,207.85807331,64.72328281,83
989,HIP 26237 ,208.50364969,-19.10915846,4.58,83.84650694,-4.83834045,0
990,HIP 64425 ,305.54568765,2.84532657,4.58,198.07345539,-59.92053651,81
991,HIP 52468 ,287.84320644,-1.49750562,4.58,160.88461543,-60.56662705,37
992,HIP 115250,97.51452086,-34.61040853,4.58,350.1592632,23.7403592,76
993,HIP 48374 ,273.69887565,5.8685649,4.58,147.91953494,-46.54764424,46
994,HIP 86284 ,16.99951437,12.33839901,4.58,264.46133236,-8.11872126,33
995,HIP 79404 ,348.11665044,16.83541783,4.58,243.07588221,-27.92631564,50
996,HIP 54751 ,290.985329,0.24127527,4.59,168.15008453,-60.3176307,37
997,HIP 46509 ,236.23055162,32.85691393,4.59,142.28682816,-2.76895627,54
998,HIP 77840 ,346.8768866,21.6134025,4.59,238.40303498,-25.32708018,50
999,HIP 50555 ,282.28120764,1.63615299,4.59,154.90318833,-55.02931452,37
1000,HIP 3245  ,308.30653977,-70.93757577,4.59,10.33156671,-46.08500934,40
1001,HIP 17351 ,239.76448313,-52.68846478,4.59,55.70884185,-37.31334485,80
1002,HIP 77512 ,41.87556725,50.37215142,4.59,237.39874182,26.06854936,49
1003,HIP 91926 ,68.79484078,18.17042688,4.59,281.09489936,39.61259557,64
1004,HIP 117452,25.1778112,-76.12720424,4.59,357.23116631,-28.1300148,82
